Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,27.2404
Start Frequency,10000000
Stop Frequency,7000000000
Average Count,0
Average Type,Power(RMS)
RBW,51000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,5100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,On
PreAmp Band,Full
Trigger Source,Free
Trigger Level,-25
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-106.837831079441
16990000,-106.375298574872
23980000,-105.447421362658
30970000,-104.902973474568
37960000,-106.464063667784
44950000,-107.458703589699
51940000,-107.190871329946
58930000,-107.519842598501
65920000,-109.303933619231
72910000,-109.731868443156
79900000,-109.165030197701
86890000,-110.080778513953
93880000,-110.36969209017
100870000,-109.871366278457
107860000,-109.181687745957
114850000,-109.263491313858
121840000,-110.347746243316
128830000,-110.157551316998
135820000,-109.250447432197
142810000,-108.809068588991
149800000,-109.438774104499
156790000,-109.932057930606
163780000,-109.428667193486
170770000,-108.321320557011
177760000,-108.417064777137
184750000,-109.291810165067
191740000,-109.715027951675
198730000,-109.160261178347
205720000,-108.509076682268
212710000,-108.760621611557
219700000,-109.075153412337
226690000,-108.902316847819
233680000,-108.323406980129
240670000,-107.984188423324
247660000,-108.424054516339
254650000,-108.735236317936
261640000,-108.873796376118
268630000,-108.58363382483
275620000,-108.233436518784
282610000,-108.040894887931
289600000,-108.142221016929
296590000,-108.445541776695
303580000,-108.573176585823
310570000,-108.159648640442
317560000,-107.812456541715
324550000,-108.025221011569
331540000,-108.62132183057
338530000,-108.84627594603
345520000,-108.447200124589
352510000,-107.876276587239
359500000,-107.769039753661
366490000,-108.216776672049
373480000,-108.48979612418
380470000,-108.337147078649
387460000,-107.749078932523
394450000,-107.845089672056
401440000,-108.150475035547
408430000,-108.307935319419
415420000,-107.890036527796
422410000,-107.705061548267
429400000,-108.053749477526
436390000,-108.473077414015
443380000,-108.403472412855
450370000,-107.770514931884
457360000,-107.34182546546
464350000,-107.671784709394
471340000,-108.300764500999
478330000,-108.337025569529
485320000,-108.146060413108
492310000,-107.437676519928
499300000,-107.340784210182
506290000,-107.75841829689
513280000,-107.993776714304
520270000,-107.809652671154
527260000,-107.629029541799
534250000,-107.724101564758
541240000,-107.863498555778
548230000,-107.97601603895
555220000,-107.823390822841
562210000,-107.879249972902
569200000,-108.231125352365
576190000,-108.438644890339
583180000,-107.916202831319
590170000,-107.610640890696
597160000,-107.675363199711
604150000,-108.185606578164
611140000,-108.486261558466
618130000,-108.359448149124
625120000,-107.932905164991
632110000,-108.031167907661
639100000,-108.440062783914
646090000,-108.431171437651
653080000,-108.165358159647
660070000,-108.088570866304
667060000,-108.16472107494
674050000,-108.512005487473
681040000,-108.237653439262
688030000,-107.640032995725
695020000,-107.798699962545
702010000,-108.394993000093
709000000,-108.745588949679
715990000,-108.598686272458
722980000,-107.919386034335
729970000,-107.656792249328
736960000,-108.083564526782
743950000,-108.412263324823
750940000,-108.409143659624
757930000,-108.01699666736
764920000,-107.935098392557
771910000,-108.34031733977
778900000,-108.49713918627
785890000,-108.519053632582
792880000,-108.071816146213
799870000,-108.025988744975
806860000,-108.108833440542
813850000,-107.970738279444
820840000,-107.885234380447
827830000,-107.918859755544
834820000,-107.905738622981
841810000,-108.02133749023
848800000,-108.078957973894
855790000,-108.005672267485
862780000,-107.924975185844
869770000,-107.766665026624
876760000,-107.797941184528
883750000,-107.814275705479
890740000,-107.856177061722
897730000,-108.112162379255
904720000,-107.938424463235
911710000,-107.626952091112
918700000,-107.771285525891
925690000,-108.015105371869
932680000,-108.346446546794
939670000,-108.178482601542
946660000,-107.709931048207
953650000,-107.246301181772
960640000,-107.612059101212
967630000,-107.999523948903
974620000,-107.940156572697
981610000,-107.572929398025
988600000,-107.496221794138
995590000,-107.776666531918
1002580000,-107.957269582286
1009570000,-107.773817930954
1016560000,-107.4744854485
1023550000,-107.241505545964
1030540000,-107.613403595995
1037530000,-107.844427796404
1044520000,-107.675127416237
1051510000,-107.202905049668
1058500000,-107.085323058121
1065490000,-107.743253106075
1072480000,-108.173592588389
1079470000,-108.082223083135
1086460000,-107.409126656708
1093450000,-107.11942565184
1100440000,-107.41136008976
1107430000,-107.694708769231
1114420000,-107.765124401087
1121410000,-107.487602104684
1128400000,-107.443319144418
1135390000,-107.516139019927
1142380000,-107.615158479076
1149370000,-107.50543021047
1156360000,-107.357880690841
1163350000,-107.53214583003
1170340000,-107.78938795583
1177330000,-107.701775832899
1184320000,-107.407222394947
1191310000,-107.31257425866
1198300000,-107.335591239282
1205290000,-107.475882513751
1212280000,-107.625860246777
1219270000,-107.630949225363
1226260000,-107.560524151783
1233250000,-107.272381766772
1240240000,-107.166026843839
1247230000,-107.148248686967
1254220000,-107.314493747748
1261210000,-107.447949106173
1268200000,-107.314066350434
1275190000,-107.157839083201
1282180000,-106.970388275727
1289170000,-107.166349249964
1296160000,-107.294906468429
1303150000,-107.400162485336
1310140000,-107.388480868214
1317130000,-107.216176769301
1324120000,-107.063387960651
1331110000,-107.070673221989
1338100000,-107.019718202577
1345090000,-106.916210960867
1352080000,-107.171437810437
1359070000,-107.327532644
1366060000,-107.100519927463
1373050000,-106.812369411205
1380040000,-106.550972486513
1387030000,-106.796076344496
1394020000,-107.194796501971
1401010000,-107.183720936746
1408000000,-106.860074997288
1414990000,-106.70572974088
1421980000,-106.550455391014
1428970000,-106.808401183284
1435960000,-106.871475371695
1442950000,-106.826408884194
1449940000,-106.794059724072
1456930000,-106.833159596438
1463920000,-106.907889550963
