Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,27.2404
Start Frequency,10000000
Stop Frequency,7000000000
Average Count,0
Average Type,Power(RMS)
RBW,51000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,5100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,On
PreAmp Band,Full
Trigger Source,Free
Trigger Level,-25
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-113.232654232585
16990000,-113.738178740054
23980000,-113.680409175744
30970000,-113.492036291585
37960000,-113.327263096684
44950000,-113.340284189889
51940000,-113.344313319247
58930000,-113.325583650432
65920000,-113.378219937552
72910000,-113.334509439421
79900000,-113.342867183296
86890000,-113.42414013362
93880000,-113.376568275846
100870000,-113.332811048839
107860000,-113.300649248335
114850000,-113.319787287788
121840000,-113.365478746658
128830000,-113.458432675558
135820000,-113.282503406271
142810000,-113.361108883333
149800000,-113.344371277015
156790000,-113.286909068901
163780000,-113.243237821212
170770000,-113.173347698134
177760000,-113.310738263905
184750000,-113.311214669946
191740000,-113.265304637388
198730000,-113.387652729653
205720000,-113.361105371116
212710000,-113.393363687215
219700000,-113.304144430299
226690000,-113.419817138634
233680000,-113.344060677676
240670000,-113.558293334578
247660000,-113.487287787499
254650000,-113.458362088012
261640000,-113.41917214926
268630000,-113.446078470986
275620000,-113.564292587822
282610000,-113.569524394771
289600000,-113.568415805241
296590000,-113.552574407915
303580000,-113.572928455878
310570000,-113.552009820325
317560000,-113.515047729876
324550000,-113.527576087166
331540000,-113.490499499014
338530000,-113.333849491554
345520000,-113.286409258582
352510000,-113.163789457736
359500000,-113.197175774328
366490000,-112.999754251692
373480000,-113.075881918607
380470000,-112.982484009374
387460000,-112.847742133901
394450000,-112.764101160732
401440000,-112.777118089026
408430000,-112.667866347334
415420000,-112.669455040089
422410000,-112.707482669602
429400000,-112.624941118294
436390000,-112.704675893606
443380000,-112.572835195813
450370000,-112.72582846837
457360000,-112.602095209257
464350000,-112.464301641993
471340000,-112.421959865537
478330000,-112.378009707617
485320000,-112.22389464305
492310000,-112.145155050085
499300000,-112.102563299474
506290000,-112.197587052287
513280000,-112.199717033049
520270000,-112.315524931323
527260000,-112.270267273771
534250000,-112.359598802906
541240000,-112.39826479229
548230000,-112.399409817557
555220000,-112.469106968103
562210000,-112.451694386437
569200000,-112.489750193997
576190000,-112.541159574149
583180000,-112.56928014203
590170000,-112.583489414581
597160000,-112.609318833516
604150000,-112.646734612876
611140000,-112.599381096535
618130000,-112.650111154615
625120000,-112.531680616437
632110000,-112.576600627408
639100000,-112.610937496143
646090000,-112.645371561731
653080000,-112.638612485543
660070000,-112.530469346659
667060000,-112.584312548736
674050000,-112.570597151575
681040000,-112.543194080928
688030000,-112.669947552154
695020000,-112.590230776913
702010000,-112.713425891608
709000000,-112.618224841392
715990000,-112.699274437715
722980000,-112.743766622122
729970000,-112.789911007457
736960000,-112.652600410991
743950000,-112.789418326241
750940000,-112.723192232986
757930000,-112.793560369563
764920000,-112.777893727309
771910000,-112.852799915109
778900000,-112.848193732229
785890000,-112.770897505604
792880000,-112.765474635882
799870000,-112.737945463499
806860000,-112.798278457064
813850000,-112.844540394348
820840000,-112.696653641425
827830000,-112.667743954135
834820000,-112.678635689888
841810000,-112.73651808504
848800000,-112.662357103278
855790000,-112.641956914329
862780000,-112.626298542034
869770000,-112.612012969427
876760000,-112.738309519854
883750000,-112.585259258632
890740000,-112.58514793668
897730000,-112.591495742788
904720000,-112.534362721475
911710000,-112.539531672902
918700000,-112.419233840951
925690000,-112.467922451429
932680000,-112.409028690782
939670000,-112.232309514359
946660000,-112.221409095745
953650000,-112.21117495165
960640000,-112.244053149484
967630000,-112.133613682929
974620000,-112.031985610782
981610000,-111.990203065769
988600000,-111.923930293301
995590000,-111.993519009088
1002580000,-111.972120918115
1009570000,-112.030540900151
1016560000,-111.996040143618
1023550000,-111.986122649676
1030540000,-112.060229836677
1037530000,-112.103579212701
1044520000,-112.166469576065
1051510000,-112.057848969912
1058500000,-112.157715299982
1065490000,-112.114518038341
1072480000,-112.241527652425
1079470000,-112.141187309684
1086460000,-112.115703551606
1093450000,-112.264363030406
1100440000,-112.194204419001
1107430000,-112.050724954345
1114420000,-112.124041586196
1121410000,-112.138902098833
1128400000,-112.067392051678
1135390000,-112.160902308467
1142380000,-112.200418024192
1149370000,-112.270575504076
1156360000,-112.225294659352
1163350000,-112.196055732878
1170340000,-112.315753563817
1177330000,-112.254790839859
1184320000,-112.357872286591
1191310000,-112.333923994083
1198300000,-112.390859754706
1205290000,-112.313241415086
1212280000,-112.262964490606
1219270000,-112.332949835129
1226260000,-112.350723526083
1233250000,-112.142358289138
1240240000,-112.306405369613
1247230000,-112.2436502672
1254220000,-112.184179744122
1261210000,-112.064727105122
1268200000,-112.072706312703
1275190000,-112.087655399308
1282180000,-112.108608780551
1289170000,-112.123163914794
1296160000,-112.162320438914
1303150000,-112.085389769033
1310140000,-112.109943977167
1317130000,-112.051392462544
1324120000,-112.014746716492
1331110000,-112.012681933928
1338100000,-112.009636270595
1345090000,-111.999618059051
1352080000,-111.963323685441
1359070000,-111.874588636517
1366060000,-112.005430710463
1373050000,-111.918194564944
1380040000,-111.854886003854
1387030000,-111.861641129976
1394020000,-111.887714774082
1401010000,-111.876792894167
1408000000,-111.880968890018
1414990000,-111.88667322962
1421980000,-111.84028666531
1428970000,-111.685632094695
1435960000,-111.849488878363
1442950000,-111.822160934452
1449940000,-111.750779985964
1456930000,-111.756024332945
1463920000,-111.727345522411
