Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,27.2404
Start Frequency,10000000
Stop Frequency,7000000000
Average Count,0
Average Type,Power(RMS)
RBW,51000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,5100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,On
PreAmp Band,Full
Trigger Source,Free
Trigger Level,-25
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-106.690468969796
16990000,-106.329123624831
23980000,-105.374284212529
30970000,-104.900656618457
37960000,-106.19838888105
44950000,-107.365757054577
51940000,-107.229754754397
58930000,-107.573856433772
65920000,-109.010754881532
72910000,-109.310414990943
79900000,-108.231842886486
86890000,-108.397775739645
93880000,-108.748629122097
100870000,-107.85133260194
107860000,-106.212136671542
114850000,-106.140150187504
121840000,-107.258737790283
128830000,-107.013656598669
135820000,-105.659496697129
142810000,-104.575925863332
149800000,-105.492435386974
156790000,-106.183893664743
163780000,-105.330216112644
170770000,-103.867044112442
177760000,-103.630023445137
184750000,-104.700213513982
191740000,-104.988090944684
198730000,-104.243347910377
205720000,-103.381347537566
212710000,-103.356037973956
219700000,-103.675619183091
226690000,-103.357822636947
233680000,-102.430051120453
240670000,-102.12927316135
247660000,-102.353150960295
254650000,-102.79169999804
261640000,-102.792739740569
268630000,-102.320167701338
275620000,-101.536085261709
282610000,-101.195493425927
289600000,-101.299276910264
296590000,-101.673929108375
303580000,-101.79386470308
310570000,-101.237521317598
317560000,-100.350324929369
324550000,-100.804807455953
331540000,-101.712059868649
338530000,-101.882779886597
345520000,-101.189030948865
352510000,-100.23489464215
359500000,-100.013937682973
366490000,-100.800462067107
373480000,-101.06886924065
380470000,-100.6928090926
387460000,-100.152009724256
394450000,-99.9900285474418
401440000,-100.425981006234
408430000,-100.524878598235
415420000,-100.051749564802
422410000,-99.5437548175143
429400000,-100.004577244902
436390000,-100.619626768653
443380000,-100.639800736456
450370000,-99.6940728359215
457360000,-99.1704252496047
464350000,-99.6414744059329
471340000,-100.41146413791
478330000,-100.591228255094
485320000,-100.107860892632
492310000,-99.0949752559252
499300000,-99.0388283461492
506290000,-99.4758082937835
513280000,-99.8029482235487
520270000,-99.6555496255817
527260000,-99.1977192910853
534250000,-99.2116357320299
541240000,-99.6091183226056
548230000,-99.6372179245583
555220000,-99.4465139746288
562210000,-99.4448966278246
569200000,-99.6457893061064
576190000,-99.8821458379301
583180000,-99.488624589611
590170000,-98.8415325183832
597160000,-98.9321836634602
604150000,-99.754049022971
611140000,-100.181292700221
618130000,-99.8337896046213
625120000,-99.2957307954129
632110000,-99.223124677473
639100000,-99.5501287531612
646090000,-99.7894682326854
653080000,-99.3263114274134
660070000,-99.0504982279099
667060000,-99.3787634725696
674050000,-99.7016978983218
681040000,-99.4054716897395
688030000,-98.6622831671077
695020000,-98.6800451865786
702010000,-99.3822712911849
709000000,-99.8661972564419
715990000,-99.4872448571294
722980000,-98.5918688147041
729970000,-98.3915295834448
736960000,-98.8977527695235
743950000,-99.4075877501688
750940000,-99.2328747638972
757930000,-98.674941654429
764920000,-98.6665579733213
771910000,-98.9265477174902
778900000,-99.2844483623401
785890000,-99.1808107072622
792880000,-98.9153324894128
799870000,-98.5104760886427
806860000,-98.6254374904987
813850000,-98.4666301012691
820840000,-98.5320695590915
827830000,-98.4976084248698
834820000,-98.3011446600906
841810000,-98.5320438790702
848800000,-98.6508301066792
855790000,-98.4542295745699
862780000,-98.1546756668488
869770000,-98.2495019490089
876760000,-98.1279124545051
883750000,-98.2262817380163
890740000,-98.4933680749019
897730000,-98.6403237208782
904720000,-98.2351901648385
911710000,-97.7689159429272
918700000,-97.8132329917372
925690000,-98.4562705738452
932680000,-98.9121145739437
939670000,-98.5710914640877
946660000,-97.8755903217676
953650000,-97.4660852240195
960640000,-97.941889652672
967630000,-98.4624952491403
974620000,-98.316290666713
981610000,-97.7379979449991
988600000,-97.6537615027994
995590000,-98.0165374698952
1002580000,-98.4063478162655
1009570000,-98.2664169080684
1016560000,-97.4258354434109
1023550000,-97.4135274372202
1030540000,-97.9186177666589
1037530000,-98.2258609871493
1044520000,-97.6051161562047
1051510000,-96.9156790659607
1058500000,-96.9344661028992
1065490000,-97.9435206047918
1072480000,-98.3817931829795
1079470000,-98.2069930193991
1086460000,-97.363656764053
1093450000,-96.7650246480867
1100440000,-97.1410426297492
1107430000,-97.7042944994715
1114420000,-97.6474361832899
1121410000,-97.3545248144391
1128400000,-97.1650229561772
1135390000,-97.2733201172792
1142380000,-97.4789125266796
1149370000,-97.0785998545315
1156360000,-96.8586852975311
1163350000,-97.064299265179
1170340000,-97.3791133156333
1177330000,-97.3357208939676
1184320000,-96.9752898041011
1191310000,-96.5947000251802
1198300000,-96.5817059376578
1205290000,-96.9486355178516
1212280000,-97.2427454631767
1219270000,-97.1688471661559
1226260000,-96.9429255095252
1233250000,-96.7187517836334
1240240000,-96.5528507305868
1247230000,-96.5528779006397
1254220000,-96.7049270499118
1261210000,-96.5611379716092
1268200000,-96.5946302754385
1275190000,-96.2943028603223
1282180000,-96.2855331443028
1289170000,-96.5579637869127
1296160000,-96.6164964116012
1303150000,-96.5190187095018
1310140000,-96.4138893084688
1317130000,-96.2381718994612
1324120000,-96.3816170322281
1331110000,-96.1869021465616
1338100000,-95.8983651369345
1345090000,-95.8522106129583
1352080000,-96.2946357997932
1359070000,-96.464690400998
1366060000,-96.3321964211148
1373050000,-95.6752610925651
1380040000,-95.5175546781938
1387030000,-95.8560579927608
1394020000,-96.4111952017213
