Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,27.2404
Start Frequency,10000000
Stop Frequency,7000000000
Average Count,0
Average Type,Power(RMS)
RBW,51000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,5100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,On
PreAmp Band,Full
Trigger Source,Free
Trigger Level,-25
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-109.445594277628
16990000,-109.502863609262
23980000,-109.383922649795
30970000,-109.278816754318
37960000,-109.275897520504
44950000,-109.038986783369
51940000,-109.058151457991
58930000,-109.088458376577
65920000,-109.146834940393
72910000,-109.102396546305
79900000,-109.238181525633
86890000,-109.305908044749
93880000,-109.242210184353
100870000,-109.365708785191
107860000,-109.360995017948
114850000,-109.380645820491
121840000,-109.346833203814
128830000,-109.341597386701
135820000,-109.157833267982
142810000,-109.190725072466
149800000,-109.383370927925
156790000,-109.19258646853
163780000,-109.23858261715
170770000,-109.253614791351
177760000,-109.230058478845
184750000,-109.393919136992
191740000,-109.23927815198
198730000,-109.311915988977
205720000,-109.256416557033
212710000,-109.319324453656
219700000,-109.327577107583
226690000,-109.299847137018
233680000,-109.314517750064
240670000,-109.294782623458
247660000,-109.362226211374
254650000,-109.319440527974
261640000,-109.334711787178
268630000,-109.361313156922
275620000,-109.4633532396
282610000,-109.408041714599
289600000,-109.424677952726
296590000,-109.446993298776
303580000,-109.517981735434
310570000,-109.487587583308
317560000,-109.612758036538
324550000,-109.418449212651
331540000,-109.543173336567
338530000,-109.43103623516
345520000,-109.403120547261
352510000,-109.355012142785
359500000,-109.437224270788
366490000,-109.231217239288
373480000,-109.301444562668
380470000,-109.265321505999
387460000,-109.269267938167
394450000,-109.22541985439
401440000,-109.20381690659
408430000,-109.201439534169
415420000,-109.022326645543
422410000,-109.056538633787
429400000,-108.84148415486
436390000,-109.164273955509
443380000,-109.172483566642
450370000,-109.313287820734
457360000,-109.258783886257
464350000,-109.178908997093
471340000,-109.122093645071
478330000,-108.990480845381
485320000,-108.843658050962
492310000,-108.802436725679
499300000,-108.815957441149
506290000,-108.879414749589
513280000,-108.828709223131
520270000,-108.853304088709
527260000,-109.017286892339
534250000,-108.869802907986
541240000,-108.98804673338
548230000,-108.945302149272
555220000,-108.938213919724
562210000,-108.979095337917
569200000,-109.084428373031
576190000,-109.093560973275
583180000,-109.199277725309
590170000,-109.01088611589
597160000,-109.050233635142
604150000,-109.152786920578
611140000,-109.037038771271
618130000,-109.256890793137
625120000,-109.178998410656
632110000,-109.256465115632
639100000,-109.135837191048
646090000,-109.083810720368
653080000,-109.203159118272
660070000,-109.187353123583
667060000,-109.011934343288
674050000,-109.118462286079
681040000,-109.165925945861
688030000,-109.14419125149
695020000,-109.122561498803
702010000,-109.016367077581
709000000,-108.995739476623
715990000,-109.042734611072
722980000,-109.083509817767
729970000,-109.111975490225
736960000,-109.166731734951
743950000,-109.11281423979
750940000,-109.290799171404
757930000,-109.171832426962
764920000,-109.167545750956
771910000,-109.252322359505
778900000,-109.25134067989
785890000,-109.223946826121
792880000,-109.276333583347
799870000,-109.122683297814
806860000,-109.09575058227
813850000,-109.088424552485
820840000,-109.20351520071
827830000,-108.984010389186
834820000,-109.112488124538
841810000,-109.006293768434
848800000,-108.90363967583
855790000,-108.870683640644
862780000,-109.014944320103
869770000,-108.897722719739
876760000,-109.104485443553
883750000,-109.087373757945
890740000,-109.001899245208
897730000,-108.891429628342
904720000,-109.101303886878
911710000,-109.061676359209
918700000,-108.942723994694
925690000,-108.964650997866
932680000,-108.837474469385
939670000,-108.953483180855
946660000,-108.909912902268
953650000,-108.93881187331
960640000,-108.800113466021
967630000,-108.82202824543
974620000,-108.729097445054
981610000,-108.797603104631
988600000,-108.964759874699
995590000,-108.873667678653
1002580000,-108.835296021042
1009570000,-108.75369647443
1016560000,-108.668155507567
1023550000,-108.753395725107
1030540000,-108.95187736594
1037530000,-108.80314712212
1044520000,-108.731972454624
1051510000,-108.8236446465
1058500000,-108.89293754341
1065490000,-108.865518772652
1072480000,-108.8465448094
1079470000,-108.780401573147
1086460000,-108.898364963454
1093450000,-108.881513249248
1100440000,-108.728468110383
1107430000,-108.960192503682
1114420000,-108.941593943936
1121410000,-108.9103534274
1128400000,-108.806969651578
1135390000,-109.042704091081
1142380000,-108.936508011271
1149370000,-108.819030352264
1156360000,-108.961253257055
1163350000,-108.946917005025
1170340000,-108.965622803194
1177330000,-108.973650329669
1184320000,-109.010875173592
1191310000,-108.994531029175
1198300000,-109.035736436502
1205290000,-109.039247645103
1212280000,-109.121659059683
1219270000,-109.080309518858
1226260000,-108.915986738203
1233250000,-109.032997735802
1240240000,-108.820259198818
1247230000,-108.935028335128
1254220000,-108.778347186849
1261210000,-108.977943489909
1268200000,-108.904655021293
1275190000,-108.829544259366
1282180000,-108.694569471481
1289170000,-108.856620120291
1296160000,-108.856339448115
1303150000,-108.827880600086
1310140000,-108.85908309528
1317130000,-108.89223542753
1324120000,-108.755677077098
1331110000,-108.869191559262
1338100000,-108.955733876059
1345090000,-108.860162985486
1352080000,-108.815478556008
1359070000,-108.884610323372
1366060000,-108.71990044344
1373050000,-108.759199049588
1380040000,-108.858014437746
1387030000,-108.662220494681
1394020000,-108.691587073929
1401010000,-108.74368657816
1408000000,-108.749373705828
1414990000,-108.711480775047
1421980000,-108.776649878211
1428970000,-108.61728964623
1435960000,-108.831714213969
1442950000,-108.6782355046
1449940000,-108.734340865298
1456930000,-108.70273254562
1463920000,-108.780035699056
