Trace
Swept SA
A.03.08,N9010A
507 P07 FS1 ,01
Segment,0
Number of Points,1001
Sweep Time,4.362
Start Frequency,1749950954.67134
Stop Frequency,1750000954.67134
Average Count,0
Average Type,LogPower(Video)
RBW,300
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1749950954.67134,-71.1324621810827
1749951004.67134,-74.2447761539337
1749951054.67134,-74.4947702985616
1749951104.67134,-74.7310033949611
1749951154.67134,-70.0697949788264
1749951204.67134,-71.3335274819781
1749951254.67134,-71.020078963037
1749951304.67134,-76.2432008558881
1749951354.67134,-71.9818303785417
1749951404.67134,-72.509341260822
1749951454.67134,-69.614911984665
1749951504.67134,-69.9688794011557
1749951554.67134,-73.6209364051492
1749951604.67134,-77.1262076619985
1749951654.67134,-69.8144483469914
1749951704.67134,-69.8144483469914
1749951754.67134,-70.0032818910514
1749951804.67134,-72.9558135378143
1749951854.67134,-72.3426776657686
1749951904.67134,-71.109525371428
1749951954.67134,-70.8862888801077
1749952004.67134,-71.7394802733806
1749952054.67134,-70.8931693258166
1749952104.67134,-72.8296692192698
1749952154.67134,-69.7899833305512
1749952204.67134,-69.9230077811831
1749952254.67134,-69.6470200866402
1749952304.67134,-70.9994355612357
1749952354.67134,-70.446695898879
1749952404.67134,-71.4076829627072
1749952454.67134,-73.3350087412469
1749952504.67134,-77.6766523614622
1749952554.67134,-69.9482359209491
1749952604.67134,-69.9482359209491
1749952654.67134,-69.3901445815741
1749952704.67134,-70.2838549638695
1749952754.67134,-69.8694913246224
1749952804.67134,-72.163016668515
1749952854.67134,-71.310589613851
1749952904.67134,-69.1378564149174
1749952954.67134,-68.6118744581385
1749953004.67134,-69.4727110408235
1749953054.67134,-67.0048775005057
1749953104.67134,-67.0530415221296
1749953154.67134,-72.7111687311112
1749953204.67134,-70.7616719712276
1749953254.67134,-69.1286817511662
1749953304.67134,-69.9994568788466
1749953354.67134,-68.941377093405
1749953404.67134,-72.7631549423468
1749953454.67134,-70.9428600514567
1749953504.67134,-71.4749579454572
1749953554.67134,-68.0629564888261
1749953604.67134,-68.821348868893
1749953654.67134,-69.2074255765069
1749953704.67134,-71.0346007170926
1749953754.67134,-70.9665594486671
1749953804.67134,-73.766953958754
1749953854.67134,-75.2585098996086
1749953904.67134,-72.7165190752382
1749953954.67134,-71.5903980344387
1749954004.67134,-71.8694435146466
1749954054.67134,-71.4069158668431
1749954104.67134,-73.0368478438748
1749954154.67134,-69.9015983942603
1749954204.67134,-71.0590642046283
1749954254.67134,-68.9536077133627
1749954304.67134,-71.0690027234885
1749954354.67134,-68.4903155440044
1749954404.67134,-68.6860295468409
1749954454.67134,-68.6860295468409
1749954504.67134,-72.5330360974538
1749954554.67134,-69.7364639337894
1749954604.67134,-70.7723728946978
1749954654.67134,-69.5040532491501
1749954704.67134,-72.4443528515912
1749954754.67134,-69.0797508296915
1749954804.67134,-70.7586114283073
1749954854.67134,-69.130208376777
1749954904.67134,-70.6653412360622
1749954954.67134,-68.6416872182613
1749955004.67134,-69.1997783746904
1749955054.67134,-70.2356872963962
1749955104.67134,-72.4390006126679
1749955154.67134,-71.3128795326658
1749955204.67134,-70.9497379751264
1749955254.67134,-73.0146753336263
1749955304.67134,-70.0430307002655
1749955354.67134,-68.3641700232444
1749955404.67134,-69.8129135149527
1749955454.67134,-68.7303694709893
1749955504.67134,-71.8281577433814
1749955554.67134,-68.8496325467036
1749955604.67134,-68.8496325467036
1749955654.67134,-69.2509993848582
1749955704.67134,-70.7754292559987
1749955754.67134,-69.3909043596044
1749955804.67134,-70.3755911734673
1749955854.67134,-70.2364505111948
1749955904.67134,-71.2425436411038
1749955954.67134,-71.7662318110699
1749956004.67134,-70.0797260099744
1749956054.67134,-67.3901850345133
1749956104.67134,-69.7425776103231
1749956154.67134,-67.4291749542913
1749956204.67134,-68.0797715592622
1749956254.67134,-67.2992083415946
1749956304.67134,-71.3335194976986
1749956354.67134,-70.7716057334958
1749956404.67134,-68.7632417678302
1749956454.67134,-68.8542182647355
1749956504.67134,-66.7694034764883
1749956554.67134,-66.6531981733713
1749956604.67134,-66.088990766099
1749956654.67134,-66.088990766099
1749956704.67134,-70.2020462963812
1749956754.67134,-69.3962543117046
1749956804.67134,-71.0934630094719
1749956854.67134,-66.9658816088526
1749956904.67134,-66.956707493939
1749956954.67134,-68.9849484711901
1749957004.67134,-72.4948067789624
1749957054.67134,-67.3206131940739
1749957104.67134,-67.3206131940739
1749957154.67134,-67.4360538972307
1749957204.67134,-70.8694614477593
1749957254.67134,-69.9681058368491
1749957304.67134,-65.9422040388879
1749957354.67134,-65.8259986835007
1749957404.67134,-66.3527450050236
1749957454.67134,-68.7624756781682
1749957504.67134,-71.3037018111055
1749957554.67134,-75.0566738308645
1749957604.67134,-72.764677334068
1749957654.67134,-72.0468037600778
1749957704.67134,-71.9764689661909
1749957754.67134,-73.3564066417839
1749957804.67134,-71.7662289100715
1749957854.67134,-68.3389372444943
1749957904.67134,-70.3473010664168
1749957954.67134,-67.6982791061134
1749958004.67134,-70.7349067125997
1749958054.67134,-67.9857340098018
1749958104.67134,-67.0805559348611
1749958154.67134,-67.1356004936669
1749958204.67134,-67.9031669625122
1749958254.67134,-71.0521772774093
1749958304.67134,-69.6057271935545
1749958354.67134,-69.6110785961539
1749958404.67134,-70.6898000192761
1749958454.67134,-67.3596009446368
1749958504.67134,-67.3596009446368
